id	type	blob
Chapter4/Theorem4.1.1	theorem	blobs/Chapter4/Theorem4.1.1.md
Chapter4/Proposition4.1.2	proposition	blobs/Chapter4/Proposition4.1.2.md
Chapter4/Example4.1.3	example	blobs/Chapter4/Example4.1.3.md
Chapter4/Theorem4.2.1	theorem	blobs/Chapter4/Theorem4.2.1.md
Chapter4/Corollary4.2.2	corollary	blobs/Chapter4/Corollary4.2.2.md
Chapter4/Corollary4.2.4	corollary	blobs/Chapter4/Corollary4.2.4.md
Chapter4/Example4.3_FiniteAbelianGroups	example	blobs/Chapter4/Example4.3_FiniteAbelianGroups.md
Chapter4/Example4.3_S3	example	blobs/Chapter4/Example4.3_S3.md
Chapter4/Example4.3_Q8	example	blobs/Chapter4/Example4.3_Q8.md
Chapter4/Example4.3_S4	example	blobs/Chapter4/Example4.3_S4.md
Chapter4/Theorem4.5.1	theorem	blobs/Chapter4/Theorem4.5.1.md
Chapter4/Theorem4.5.4	theorem	blobs/Chapter4/Theorem4.5.4.md
Chapter4/Remark4.5.5	remark	blobs/Chapter4/Remark4.5.5.md
Chapter4/Definition4.6.1	definition	blobs/Chapter4/Definition4.6.1.md
Chapter4/Theorem4.6.2	theorem	blobs/Chapter4/Theorem4.6.2.md
Chapter4/Theorem4.6.3	theorem	blobs/Chapter4/Theorem4.6.3.md
Chapter4/Remark4.6.4	remark	blobs/Chapter4/Remark4.6.4.md
Chapter4/Proposition4.7.1	proposition	blobs/Chapter4/Proposition4.7.1.md
Chapter4/Example4.8.1	example	blobs/Chapter4/Example4.8.1.md
Chapter4/Example4.9.1	example	blobs/Chapter4/Example4.9.1.md
Chapter4/Definition4.10.1	definition	blobs/Chapter4/Definition4.10.1.md
Chapter4/Theorem4.10.2	theorem	blobs/Chapter4/Theorem4.10.2.md
Chapter4/Lemma4.10.3	lemma	blobs/Chapter4/Lemma4.10.3.md
