id	type	blob
Chapter2/Example2.8.2	example	blobs/Chapter2/Example2.8.2.md
Chapter2/Definition2.8.3	definition	blobs/Chapter2/Definition2.8.3.md
Chapter2/Definition2.8.4	definition	blobs/Chapter2/Definition2.8.4.md
Chapter2/Remark2.8.5	remark	blobs/Chapter2/Remark2.8.5.md
Chapter2/Remark2.8.7	remark	blobs/Chapter2/Remark2.8.7.md
Chapter2/Definition2.8.8	definition	blobs/Chapter2/Definition2.8.8.md
Chapter2/Definition2.8.9	definition	blobs/Chapter2/Definition2.8.9.md
Chapter2/Definition2.8.10	definition	blobs/Chapter2/Definition2.8.10.md
Chapter2/Definition2.9.1	definition	blobs/Chapter2/Definition2.9.1.md
Chapter2/Example2.9.2	example	blobs/Chapter2/Example2.9.2.md
Chapter2/Example2.9.2_continued	example	blobs/Chapter2/Example2.9.2_continued.md
Chapter2/Remark2.9.3	remark	blobs/Chapter2/Remark2.9.3.md
Chapter2/Remark2.9.4	remark	blobs/Chapter2/Remark2.9.4.md
Chapter2/Definition2.9.6	definition	blobs/Chapter2/Definition2.9.6.md
Chapter2/Definition2.9.7	definition	blobs/Chapter2/Definition2.9.7.md
Chapter2/Example2.9.8	example	blobs/Chapter2/Example2.9.8.md
Chapter2/Definition2.9.9	definition	blobs/Chapter2/Definition2.9.9.md
Chapter2/Remark2.9.10	remark	blobs/Chapter2/Remark2.9.10.md
Chapter2/Example2.9.12	example	blobs/Chapter2/Example2.9.12.md
Chapter2/Example2.9.13	example	blobs/Chapter2/Example2.9.13.md
Chapter2/Remark2.9.14	remark	blobs/Chapter2/Remark2.9.14.md
Chapter2/Definition2.11.1	definition	blobs/Chapter2/Definition2.11.1.md
Chapter2/Remark2.11.4	remark	blobs/Chapter2/Remark2.11.4.md
Chapter2/Definition2.12.1	definition	blobs/Chapter2/Definition2.12.1.md
Chapter2/Definition2.14.1	definition	blobs/Chapter2/Definition2.14.1.md
Chapter2/Definition2.14.2	definition	blobs/Chapter2/Definition2.14.2.md
