id	type	blob
Chapter9/Proposition9.1.1	proposition	blobs/Chapter9/Proposition9.1.1.md
Chapter9/Definition9.1.2	definition	blobs/Chapter9/Definition9.1.2.md
Chapter9/Corollary9.1.3	corollary	blobs/Chapter9/Corollary9.1.3.md
Chapter9/Theorem9.2.1	theorem	blobs/Chapter9/Theorem9.2.1.md
Chapter9/Definition9.2.2	definition	blobs/Chapter9/Definition9.2.2.md
Chapter9/Proposition9.2.3	proposition	blobs/Chapter9/Proposition9.2.3.md
Chapter9/Definition9.3.1	definition	blobs/Chapter9/Definition9.3.1.md
Chapter9/Definition9.4.1	definition	blobs/Chapter9/Definition9.4.1.md
Chapter9/Definition9.4.3	definition	blobs/Chapter9/Definition9.4.3.md
Chapter9/Example9.4.4	example	blobs/Chapter9/Example9.4.4.md
Chapter9/Definition9.5.1	definition	blobs/Chapter9/Definition9.5.1.md
Chapter9/Example9.5.2	example	blobs/Chapter9/Example9.5.2.md
Chapter9/Definition9.6.1	definition	blobs/Chapter9/Definition9.6.1.md
Chapter9/Definition9.6.2	definition	blobs/Chapter9/Definition9.6.2.md
Chapter9/Theorem9.6.4	theorem	blobs/Chapter9/Theorem9.6.4.md
Chapter9/Definition9.7.1	definition	blobs/Chapter9/Definition9.7.1.md
Chapter9/Definition9.7.2	definition	blobs/Chapter9/Definition9.7.2.md
Chapter9/Corollary9.7.3	corollary	blobs/Chapter9/Corollary9.7.3.md
