blob_id	type	kind	prior_verdict	seed_claims
Chapter5/Discussion_computing_characters_of_L_lambda	discussion	CANDIDATE	unknown	Namely, let $\dim V = N$, let $g \in GL(V)$, and let $x_1, \ldots, x_N$ be the eigenvalues of $g$ on $V$. || If $s \in C_\mathbf{i}$, we easily get that this trace equals $$ \prod_m \operatorname{Tr}(g^m)^{i_m} = \prod_m H_m(x)^{i_m}. $$ On the other hand, by the Schur-Weyl duality $$ \operatorname{Tr}_{V^{\otimes n}}(g^{\otimes n} s) = \sum_\lambda \chi_\lambda(C_\mathbf{i}) \operatorname{Tr}_{L_\lambda}(
Chapter5/Discussion_end_of_Lemma5.13.1_proof	discussion	no-signal		
Chapter5/Discussion_footnote_5.15	discussion	CANDIDATE	unknown	--- ${}^2$Another way to see this is to note that $\sigma(\rho) \leq \rho$ lexicographically with equality if and only if $\sigma = 1$, and subtracting both sides from the constant vector $\lambda + \rho$ shows that $\lambda + \rho - \sigma(\rho) \geq \lambda$ with equality if and only if $\sigma = 
Chapter5/Discussion_hook_length_derivation	discussion	CANDIDATE	unknown	Then, using the determinant formula for $\Delta(x)$ and expanding the determinant as a sum over permutations, we get $$ \dim V_\lambda = \sum_{s \in S_N : l_j \geq N - s(j)} (-1)^s \frac{n!}{\prod_j (l_j - N + s(j))!} $$ $$ = \frac{n!}{l_1! || \ldots l_N!} \sum_{s \in S_N} (-1)^s \prod_j l_j(l_j - 1) \ldots (l_j - N + s(j) + 1) $$ $$ = \frac{n!}{\prod_j l_j!} \det(l_j(l_j - 1) \ldots (l_j - N + i + 1)). $$ Using column reduction and the Vandermonde determinant formula, we see from this expression that $$ (5.17.1) \qquad \dim V_\lambda = \
Chapter5/Discussion_lexicographic_ordering	discussion	no-signal		
Chapter5/Discussion_principal_series_name	discussion	no-signal		
Chapter5/Discussion_proof_of_Frobenius_character_formula	discussion	CANDIDATE	unknown	We have $$(\theta_\lambda, \theta_\lambda) = \frac{1}{n!} \sum_{\mathbf{i}} |C_{\mathbf{i}}| \theta_\lambda(C_{\mathbf{i}})^2.$$ Using that $$|C_{\mathbf{i}}| = \frac{n!}{\prod_m m^{i_m} i_m!},$$ we conclude that $(\theta_\lambda, \theta_\lambda)$ is the coefficient of $x^{\lambda+\rho} y^{\lambda+\ || Now note that $\mu = \langle\lambda + \rho - \sigma(\rho)\rangle$ is obtained from $\lambda$ by adding vectors of the form $e_i - e_j$, $i < j$, which implies that $\mu > \lambda$ or $\mu = \lambda$, and the case $\mu = \lambda$ arises only if $\sigma = 1$. ${}^2$ Therefore, the above claim follows 
Chapter5/Discussion_proof_of_Lemma5.13.4	discussion	CANDIDATE	unknown	Thus the statement immediately follows from the fact that $\operatorname{Hom}_A(A, M) \cong M$ and the decomposition $A = Ae \oplus A(1 - e)$. $\square$
Chapter5/Discussion_proof_of_Lemma5.15.3	discussion	CANDIDATE	unknown	The proportionality coefficient (which is equal to 1) is found by induction by multiplying both sides by $z_N - y_N$ and then setting $z_N = y_N$. $\square$ Now setting $z_i = 1/x_i$ in the lemma, we get
Chapter5/Discussion_proof_of_Proposition5.14.1	discussion	no-signal		
Chapter5/Discussion_proof_of_Theorem5.12.2	discussion	no-signal		
Chapter5/Discussion_proof_of_Theorem5.15.1	discussion	no-signal		
Chapter5/Discussion_proof_of_Theorem5.23.2	discussion	CANDIDATE	unknown	It is easy to see that $\xi$ is a homomorphism of representations (where the action of $GL(V)$ on the first component of $Y \otimes R$ is trivial). || Thus, it suffices to prove the theorem for a subrepresentation $Y \subset R^m$.
Chapter5/Discussion_proof_of_Theorem5.26.1	discussion	no-signal		
Chapter5/Discussion_proof_of_Theorem5.3.1	discussion	CANDIDATE	unknown	On the other hand, from the definition of $\lambda_i$, $$\sum_{C_i} \lambda_i \overline{\chi_V(g_{C_i})} = \sum_i \frac{|C_i| \chi_V(g_{C_i}) \overline{\chi_V(g_{C_i})}}{\dim V}.$$ Recalling that $\chi_V$ is a class function, this is equal to $$\sum_{g \in G} \frac{\chi_V(g) \overline{\chi_V(g)}}{\d
Chapter5/Discussion_proof_of_Theorem5.4.3	discussion	CANDIDATE	unknown	Then $G$ is simple, and by Theorem 5.4.6, it cannot have a conjugacy class of order $p^k$ or $q^k$, $k \geq 1$.
Chapter5/Discussion_proof_of_Theorem5.4.4	discussion	CANDIDATE	unknown	**Proof of Theorem 5.4.4.** Let $\dim V = n$. || Thus, by Lemma 5.4.5, we get that either $\varepsilon_1 = \cdots = \varepsilon_n$ or $\varepsilon_1 + \cdots + \varepsilon_n = \chi_V(g) = 0$.
Chapter5/Discussion_proof_of_Theorem5.4.6	discussion	CANDIDATE	unknown	Theorem 5.4.4 implies that $g$ (and hence any element of $C$) acts by a scalar in $V$.
Chapter5/Discussion_proof_of_Theorem5.9.1	discussion	no-signal		
