blob_id	type	kind	prior_verdict	seed_claims
Chapter9/Discussion_after_Definition9.7.1	discussion	CANDIDATE	gap	It is easy to see that this algebra is the only one of the $B_{\mathbf{n}}$ for which $B_{\mathbf{n}}/\operatorname{Rad}(B_{\mathbf{n}}) = \bigoplus_i \operatorname{Mat}_{n_i}(k)$ is commutative. || Thus, we obtain that Morita equivalence classes of finite dimensional algebras are the collections of the form $\{B_{\mathbf{n}}(\mathcal{C}), \mathbf{n} \in \mathbb{N}^m\}$. || Note that the dimension of $B_{\mathbf{n}}$ is $\sum c_{ij} n_i n_j$, where $(c_{ij})$ is the Cartan matrix of $\mathcal{C}$. || In particular, the algebra $B = B_{\mathbf{n}}$ with the smallest possible dimension, $\sum c_{ij}$, corresponds to the case when all $n_i = 1$, i.e., to the projective generator $P = \bigoplus_i P_i$.
Chapter9/Discussion_before_Theorem9.6.4	discussion	no-signal		
Chapter9/Introduction	introduction	no-signal		
Chapter9/Introduction_9.1	introduction	no-signal		
Chapter9/Introduction_9.2	introduction	no-signal		
Chapter9/Introduction_9.3	introduction	no-signal		
Chapter9/Introduction_9.4	introduction	no-signal		
Chapter9/Introduction_9.5	introduction	no-signal		
Chapter9/Introduction_9.6	introduction	CANDIDATE	gap	Note that in such a category, Hom spaces are finite dimensional (check it!).
Chapter9/Introduction_9.7	introduction	CANDIDATE	gap	Then all the projective generators of $\mathcal{C}$ are the objects of the form $P_{\mathbf{n}} := \bigoplus_{i=1}^m n_i P_i$, where $n_i \geq 1$ (check it!). || Defining $B_{\mathbf{n}} = B_{\mathbf{n}}(\mathcal{C}) := \operatorname{End}(P_{\mathbf{n}})^{\mathrm{op}}$, we see that the algebras $B_{\mathbf{n}}$ are all the finite dimensional algebras whose category of finite dimensional modules is equivalent to $\mathcal{C}$.
