blob_id	type	kind	prior_verdict	seed_claims
Chapter5/Introduction_5.12	introduction	no-signal		
Chapter5/Introduction_5.13	introduction	no-signal		
Chapter5/Introduction_5.14	introduction	CANDIDATE	gap	It is easy to see that $U_\lambda$ can be alternatively defined as $U_\lambda = \mathbb{C}[S_n] a_\lambda$.
Chapter5/Introduction_5.15	introduction	no-signal		
Chapter5/Introduction_5.16	introduction	no-signal		
Chapter5/Introduction_5.17	introduction	no-signal		
Chapter5/Introduction_5.18	introduction	no-signal		
Chapter5/Introduction_5.19	introduction	no-signal		
Chapter5/Introduction_5.2	introduction	no-signal		
Chapter5/Introduction_5.20	introduction	no-signal		
Chapter5/Introduction_5.21	introduction	no-signal		
Chapter5/Introduction_5.22	introduction	no-signal		
Chapter5/Introduction_5.23	introduction	no-signal		
Chapter5/Introduction_5.24	introduction	no-signal		
Chapter5/Introduction_5.25	introduction	no-signal		
Chapter5/Introduction_5.26	introduction	no-signal		
Chapter5/Introduction_5.27	introduction	no-signal		
Chapter5/Introduction_5.3	introduction	no-signal		
Chapter5/Introduction_5.4	introduction	no-signal		
Chapter5/Introduction_5.5	introduction	no-signal		
Chapter5/Introduction_5.6	introduction	no-signal		
Chapter5/Introduction_5.7	introduction	no-signal		
Chapter5/Introduction_5.8	introduction	no-signal		
Chapter5/Introduction_5.9	introduction	no-signal		
