blob_id	type	kind	prior_verdict	seed_claims
Chapter7/Discussion_7.10	discussion	no-signal		
Chapter7/Discussion_after_Definition7.2.1	discussion	no-signal		
Chapter7/Discussion_after_Definition7.4.1	discussion	CANDIDATE	gap	In particular, the above categories $\mathcal{C}_1$ and $\mathcal{C}_2$ are equivalent (check it!). || Also, the category **FSet** of finite sets is equivalent to the category whose objects are nonnegative integers, and morphisms are given by $$ \operatorname{Hom}(m, n) = \operatorname{Maps}(\{1, \ldots, m\}, \{1, \ldots, n\}). $$ Are these categories isomorphic?
Chapter7/Discussion_after_Definition7.6.1	discussion	CANDIDATE	gap	This follows easily from the Yoneda lemma, since if **Table 1.** Dictionary between category theory and linear algebra. | Category theory | Linear algebra | |---|---| | Category $\mathcal{C}$ | Vector space $V$ with a nondegenerate inner product | | The set of morphisms $\operatorname{Hom}(X, Y)$ | 
Chapter7/Discussion_after_Definition7.8.1	discussion	CANDIDATE	unknown	Clearly, such morphisms can be composed, which makes the class of all complexes over $\mathcal{C}$ into a category, denoted $\operatorname{Compl}(\mathcal{C})$.
Chapter7/Discussion_after_Definition7.9.1	discussion	CANDIDATE	unknown	It is easy to show that if $F$ is an additive functor, then $F(X \oplus Y)$ is canonically isomorphic to $F(X) \oplus F(Y)$.
Chapter7/Discussion_after_Example7.1.3	discussion	no-signal		
Chapter7/Discussion_after_Example7.1.5	discussion	no-signal		
Chapter7/Discussion_after_Example7.6.3	discussion	no-signal		
Chapter7/Discussion_after_Example7.9.5	discussion	no-signal		
Chapter7/Discussion_after_Problem7.7.3	discussion	no-signal		
Chapter7/Discussion_after_Remark7.7.4	discussion	CANDIDATE	gap	In particular, the categories in Example 7.7.2 are $k$-linear.
Chapter7/Introduction	introduction	no-signal		
Chapter7/Introduction_7.1	introduction	CANDIDATE	unknown	For a serious acquaintance with category theory, the reader may use, for instance, the classical book [**McL**].
Chapter7/Introduction_7.10	introduction	no-signal		
Chapter7/Introduction_7.2	introduction	no-signal		
Chapter7/Introduction_7.3	introduction	no-signal		
Chapter7/Introduction_7.4	introduction	CANDIDATE	gap	Equivalence of categories When two algebraic or geometric objects are isomorphic, it is usually not a good idea to say that they are equal (i.e., literally the same). || This is accomplished by the definition of an equivalence of categories. || It is easy to check that for any category $\mathcal{D}$, there is a natural bijection between the collections of isomorphism classes of functors $\mathcal{C}_1 \to \mathcal{D}$ and $\mathcal{C}_2 \to \mathcal{D}$ (both are identified with the collection of isomorphism classes of objects of $\mathcal
Chapter7/Introduction_7.5	introduction	CANDIDATE	unknown	We say that $F$ is **representable** if there exists an object $X \in \mathcal{C}$ such that $F$ is isomorphic to the functor $\operatorname{Hom}(X, ?)$.
Chapter7/Introduction_7.6	introduction	no-signal		
Chapter7/Introduction_7.7	introduction	no-signal		
Chapter7/Introduction_7.8	introduction	no-signal		
Chapter7/Introduction_7.9	introduction	no-signal		
